id,title,content,category,summary,date,source,image_url
1,"NVIDIA Rubin Platform Launches: Next Generation AI Supercomputer","NVIDIA today kickstarted the next generation of AI with the launch of the NVIDIA Rubin platform, comprising six new chips designed to deliver one incredible AI supercomputer. The Rubin platform uses extreme codesign across the six chips — the NVIDIA Vera CPU, NVIDIA Rubin GPU, NVIDIA NVLink 6 Switch, NVIDIA ConnectX-9 SuperNIC, NVIDIA BlueField-4 DPU and NVIDIA Spectrum-6 Ethernet Switch — to slash training time and inference token costs. The Rubin platform features the NVIDIA Vera Rubin NVL72 rack-scale solution and the NVIDIA HGX Rubin NVL8 system. Named for Vera Florence Cooper Rubin — the trailblazing American astronomer whose discoveries transformed humanity's understanding of the universe — the Rubin platform features five major innovations including the latest generations of NVIDIA NVLink interconnect technology, Transformer Engine, Confidential Computing and RAS Engine, as well as the NVIDIA Vera CPU. These breakthroughs will accelerate agentic AI, advanced reasoning and massive-scale mixture-of-experts (MoE) model inference at up to 10x lower cost per token of the NVIDIA Blackwell platform. Compared with its predecessor, the NVIDIA Rubin platform trains MoE models with 4x fewer GPUs to accelerate AI adoption. The Rubin platform harnesses extreme codesign across hardware and software to deliver up to 10x reduction in inference token cost and 4x reduction in number of GPUs to train MoE models, compared with the NVIDIA Blackwell platform. NVIDIA Spectrum-X Ethernet Photonics switch systems deliver 5x improved power efficiency and uptime. A new NVIDIA Inference Context Memory Storage Platform with NVIDIA BlueField-4 storage processor accelerates agentic AI reasoning. Microsoft's next-generation Fairwater AI superfactories — featuring NVIDIA Vera Rubin NVL72 rack-scale systems — will scale to hundreds of thousands of NVIDIA Vera Rubin Superchips. CoreWeave will integrate NVIDIA Rubin-based systems into its AI cloud platform beginning in the second half of 2026. An expanded collaboration with Red Hat delivers a complete AI stack optimized for the Rubin platform with Red Hat Enterprise Linux, Red Hat OpenShift and Red Hat AI. NVIDIA Rubin is in full production, and Rubin-based products will be available from partners the second half of 2026. Among the world's leading AI labs, cloud service providers, computer makers and startups expected to adopt Rubin are Amazon Web Services (AWS), Anthropic, Black Forest Labs, Cisco, Cohere, CoreWeave, Cursor, Dell Technologies, Google, Harvey, HPE, Lambda, Lenovo, Meta, Microsoft, Mistral AI, Nebius, Nscale, OpenAI, OpenEvidence, Oracle Cloud Infrastructure (OCI), Perplexity, Runway, Supermicro, Thinking Machines Lab and xAI.","AI Hardware","NVIDIA unveils Rubin platform with six new AI chips offering 10x lower inference token cost and 4x fewer GPUs needed for training MoE models. Full production beginning H2 2026.","2026-01-04","https://nvidianews.nvidia.com/news/rubin-platform-ai-supercomputer",https://s3.amazonaws.com/cms.ipressroom.com/219/files/202601/nvidia-rubin-platform.jpg
2,"NVIDIA Releases New Physical AI Models and Robots","NVIDIA announced new open models, frameworks and AI infrastructure for physical AI, and unveiled robots for every industry from global partners. Global industry leaders including Boston Dynamics, Caterpillar, Franka Robotics, Humanoid, LG Electronics and NEURA Robotics are using the NVIDIA robotics stack to debut new AI-driven robots. NVIDIA releases new NVIDIA Cosmos and GR00T open models and data for robot learning and reasoning, Isaac Lab-Arena for robot evaluation and the OSMO edge-to-cloud compute framework to simplify robot training workflows. New Open Models include: NVIDIA Cosmos Transfer 2.5 — open, fully customizable world models that enable physically based synthetic data generation and robot policy evaluation in simulation for physical AI. NVIDIA Cosmos Predict 2.5 — an open reasoning vision language model (VLM) that enables intelligent machines to see, understand and act in the physical world like humans. NVIDIA Cosmos Reason 2 — an open reasoning vision language action (VLA) model, purpose-built for humanoid robots, that unlocks full body control and uses NVIDIA Cosmos Reason for better reasoning and contextual understanding. NVIDIA Isaac GR00T N1.6 — Franka Robotics, NEURA Robotics and Humanoid are using GR00T-enabled workflows to simulate, train and validate new behaviors for robots. Salesforce is using Agentforce, Cosmos Reason and the NVIDIA Blueprint for video search and summarization to analyze video footage captured by its robots and reduce incident resolution times by 2x. The new NVIDIA Jetson T4000 module brings the NVIDIA Blackwell architecture to autonomous machines and general robotics for $1,999 at 1,000-unit volume. It delivers 4x the performance of the previous generation with 1,200 FP4 TFLOPS and 64GB of memory, all within a configurable 70-watt envelope ideal for energy-constrained autonomy. NVIDIA IGX Thor will be available later this month, extending robotics to the industrial edge, offering high-performance AI computing with enterprise software support and functional safety. Partners including AAEON, Advantech, ADLINK, Aetina, AVerMedia, Connect Tech, EverFocus, ForeCR, Lanner, RealTimes, Syslogic, Vecow and YUAN offer Thor-powered systems equipped for edge AI, robotics and embedded applications. NEURA Robotics is launching a Porsche-designed Gen 3 humanoid, as well as a smaller-sized humanoid optimized for dexterous control. Richtech Robotics is launching Dex, a mobile humanoid for sophisticated manipulation and navigation across complex industrial environments. AGIBOT is introducing humanoids for both industrial and consumer sectors. LG Electronics unveiled a new home robot built to perform a wide range of indoor household tasks.","Robotics & Physical AI","NVIDIA announces breakthrough physical AI models and frameworks enabling robots from Boston Dynamics, Caterpillar, LG and others to learn and reason about the physical world. Open models released on Hugging Face.","2026-01-04","https://nvidianews.nvidia.com/news/nvidia-releases-new-physical-ai-models-as-global-partners-unveil-next-generation-robots",https://www.nvidia.com/content/dam/en-zz/Solutions/industries/robotics/robotics-industry-og-100_.jpg
3,"NVIDIA Announces Alpamayo Open-Source AI Models for Autonomous Vehicles","NVIDIA unveiled the NVIDIA Alpamayo family of open AI models, simulation tools and datasets designed to accelerate the next era of safe, reasoning-based autonomous vehicle (AV) development. AVs must safely operate across an enormous range of driving conditions, and the rare, complex scenarios, often called the 'long tail,' remain some of the toughest challenges for autonomous systems to safely master. Traditional AV architectures separate perception and planning, which can limit scalability when new or unusual situations arise. Recent advances in end-to-end learning have made significant progress, but overcoming these long-tail edge cases requires models that can safely reason about cause and effect. The Alpamayo family introduces chain-of-thought, reasoning-based vision language action (VLA) models that bring humanlike thinking to AV decision-making. These systems can think through novel or rare scenarios step by step, improving driving capability and explainability — which is critical to scaling trust and safety in intelligent vehicles — and are underpinned by the NVIDIA Halos safety system. At CES, NVIDIA released: Alpamayo 1 — The industry's first chain-of-thought reasoning VLA model designed for the AV research community, now on Hugging Face. With a 10-billion-parameter architecture, Alpamayo 1 uses video input to generate trajectories alongside reasoning traces, showing the logic behind each decision. Developers can adapt Alpamayo 1 into smaller runtime models for vehicle development, or use it as a foundation for AV development tools such as reasoning-based evaluators and auto-labeling systems. AlpaSim — A fully open-source, end-to-end simulation framework for high-fidelity AV development, available on GitHub. It provides realistic sensor modeling, configurable traffic dynamics and scalable closed-loop testing environments, enabling rapid validation and policy refinement. Physical AI Open Datasets — NVIDIA offers the most diverse large-scale, open dataset for AV that contains 1,700+ hours of driving data collected across the widest range of geographies and conditions, covering rare and complex real-world edge cases. These datasets are available on Hugging Face. Mobility leaders and industry experts, including Lucid, JLR, Uber and Berkeley DeepDrive, are showing interest in Alpamayo to develop reasoning-based AV stacks that will enable level 4 autonomy. Future models in the family will feature larger parameter counts, more detailed reasoning capabilities, more input and output flexibility, and options for commercial usage.","Autonomous Vehicles","NVIDIA releases Alpamayo family of open-source reasoning AI models and datasets for safer autonomous vehicle development with humanlike decision-making capabilities.","2026-01-04","https://nvidianews.nvidia.com/news/alpamayo-autonomous-vehicle-development",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTStR5VjxRrCsxuBD1QiEY22V29-axfTFYlEw&s
4,"Mercedes-Benz to Deploy NVIDIA Drive AGX for Autonomous Driving","Nvidia announced at the Consumer Electronics Show (CES 2026) in Las Vegas that it has strengthened its partnership with German automaker Mercedes-Benz for the development of 'the world's most advanced' software-defined vehicles (SDVs). Nvidia confirmed that Mercedes-Benz will adopt its Nvidia Drive AGX system, which it said will 'enable Level 2++ driving today and pave the way for Level 4 autonomous driving in the future.' The US chipmaker also announced that its Nvidia Omniverse 'digital twins will also help Mercedes-Benz optimize vehicle design and manufacturing from factory to road.' Nvidia's Drive AV software will debut in the all-new Mercedes-Benz CLA this year, providing Level 2++ point-to-point driver assistance capabilities. The partnership has been expanded to include building passenger and cargo vans using the Nvidia Drive Hyperion system. Nvidia's Drive AV system uses an 'AI end-to-end stack for core driving, alongside a parallel classical safety stack — built on the Nvidia Halos safety system — that adds redundancy and safety guardrails. As a result, vehicles can learn from vast amounts of real and synthetic driving data to assist drivers in safely navigating complex environments and scenarios with humanlike decision-making.' Jensen Huang stated that he was 'really excited that the first vehicle using autonomous driving software developed by Nvidia will hit the road this year.' The rollout is expected to begin in the US in the first quarter of 2026, followed by Europe in the second quarter and Asia in the second half of the year. Jensen Huang said he expects that 'in the future, all cars will become autonomous and will be operated by AI. There is no doubt that autonomous vehicles will become one of the largest robotics industries.'","Autonomous Vehicles","Mercedes-Benz to deploy NVIDIA Drive AGX system in 2026 CLA model enabling Level 2++ autonomous driving with rollout across US, Europe, and Asia.","2026-01-06","https://www.just-auto.com/news/nvidia-to-launch-its-ai-based-autonomous-technology-in-2026/",https://i.nextmedia.com.au/News/Mercedes-Benz_NVIDIA.jpg
5,"NVIDIA Rubin Platform: Six New Chips for Next Generation AI","At CES 2026, NVIDIA introduced its cutting-edge Rubin AI platform, which consists of six closely integrated chips, prominently featuring the Vera CPU and Rubin GPU. These components are now fully in production and are expected to be widely utilized by leading cloud service providers and AI research facilities starting in the latter half of 2026. The Rubin platform delivers a step-function increase in sustained throughput across pre-training, post-training, and inference. By increasing scale-up bandwidth, improving collective efficiency, and sustaining higher utilization under communication-heavy execution, Rubin raises the effective performance ceiling for large-scale training while delivering significant gains in post-training and inference workflows. The platform introduces six key components: NVIDIA Vera CPU — Designed for agentic reasoning, NVIDIA Vera is the most power-efficient CPU for large-scale AI factories. The CPU is built with 88 NVIDIA custom Olympus cores, full Armv9.2 compatibility and ultrafast NVLink-C2C connectivity. NVIDIA Rubin GPU — Featuring a third-generation Transformer Engine with hardware-accelerated adaptive compression, Rubin GPU delivers 50 petaflops of NVFP4 compute for AI inference. NVIDIA NVLink 6 Switch — Delivers the fast, seamless GPU-to-GPU communication required for today's massive MoE models. Each GPU offers 3.6TB/s of bandwidth, while the Vera Rubin NVL72 rack provides 260TB/s — more bandwidth than the entire internet. NVIDIA BlueField-4 DPU — Introduces Advanced Secure Trusted Resource Architecture (ASTRA), a system-level trust architecture that gives AI infrastructure builders a single, trusted control point. NVIDIA ConnectX-9 SuperNIC — Advanced networking interface cards for optimized data center connectivity. NVIDIA Spectrum-6 Ethernet Switch — Next generation Ethernet for AI networking, built to scale Rubin-based AI factories with higher efficiency and greater resilience.","AI Hardware","NVIDIA Rubin platform fully in production with six integrated chips delivering record performance for AI training and inference at 10x lower token cost.","2026-01-08","https://developer.nvidia.com/blog/inside-the-nvidia-rubin-platform-six-new-chips-one-ai-supercomputer/",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTj97ngcqcFwr69kVZv40BUnwhWcNJ0b2C7Ug&s
6,"NVIDIA Unveils Self-Driving Car Technology at CES 2026","Nvidia has introduced an innovative technology platform aimed at self-driving vehicles, as the leading chip manufacturer seeks to integrate AI into more tangible products. During the annual CES technology exhibition held in Las Vegas, CEO Jensen Huang announced the system, named Alpamayo, which aims to provide 'reasoning' capabilities to autonomous cars. This advancement would enable vehicles to 'navigate through unusual situations, operate safely in intricate environments, and articulate their driving choices.' Jensen Huang revealed that Nvidia is collaborating with Mercedes to develop a driverless vehicle utilizing this technology, which is expected to debut in the United States in the forthcoming months before expanding to Europe and Asia. While Nvidia's chips have been instrumental in fueling the AI surge, the spotlight has primarily been on the software they support, such as ChatGPT. However, major technology companies are increasingly focusing on hardware—specifically physical products like vehicles—where AI can be implemented. Huang, donning his signature black leather jacket, addressed a crowd of hundreds, stating that this initiative has provided Nvidia with 'vast insights' into assisting partners in constructing robotic systems. 'The moment of transformation for physical AI is nearly upon us,' Huang remarked. Analyst Paolo Pescatore from PP Foresight commented: 'Nvidia's shift towards large-scale AI and differentiating AI systems will ensure it remains significantly ahead of competitors. Alpamayo signifies a major transition for Nvidia, evolving from a primary compute provider to a platform supplier for physical AI ecosystems.' The rollout begins with US deployment in early 2026, followed by European and Asian markets later in the year.","Autonomous Vehicles","NVIDIA's Alpamayo platform brings reasoning AI to self-driving vehicles starting with Mercedes deployment in early 2026, marking shift from compute to physical AI products.","2026-01-05","https://www.bbc.com/news/articles/c0jv1vd571wo",https://i0.wp.com/www.supplychaintoday.com/wp-content/uploads/2026/01/NVIDIA-CES-2026.jpg?fit=640%2C480&ssl=1
7,"NVIDIA and NSF Partnership: $152 Million for Open AI Science Models","The U.S. National Science Foundation announced a partnership with NVIDIA to develop a set of artificial intelligence models that will transform the ability of America's scientists to leverage AI, advancing scientific discovery and ensuring U.S. leadership in AI-powered research and innovation. NSF will contribute $75 million, with NVIDIA providing an additional $77 million, to support the Open Multimodal AI Infrastructure to Accelerate Science (OMAI) project, led by the Allen Institute for AI (Ai2). The collaboration will create a fully open suite of advanced AI models specifically designed to support the U.S. scientific community. This public-private investment advances priorities set forth in the White House AI Action Plan to accelerate AI-enabled science and ensure the United States is producing the leading open models that enhance America's global AI dominance. Brian Stone, performing the duties of the NSF director, stated: 'Bringing AI into scientific research has been a game changer. NSF is proud to partner with NVIDIA to equip America's scientists with the tools to accelerate breakthroughs. These investments are not just about enabling innovation; they are about securing U.S. global leadership in science and technology and tackling challenges once thought impossible.' With this support, Ai2 will create open-source, multimodal large language models trained on scientific data and literature. These tools will enable America's researchers and developers to process and analyze research faster, generate code and visualizations, and connect new insights to past discoveries, accelerating breakthroughs across materials science, biology, energy and more. The project will provide a path forward to a future paradigm of AI-accelerated scientific discovery, supporting reliable and rigorous science and building an innovation ecosystem that benefits every American. NSF's support is provided through its Mid-Scale Research Infrastructure program. The project will also build a national AI-ready workforce, supporting training efforts that expand participation and expertise beyond traditional tech hubs, strengthening American competitiveness in AI and other critical technologies. Research teams from the University of Washington, University of Hawaii at Hilo, University of New Hampshire and University of New Mexico will participate. Michael Kratsios, director of the White House Office of Science and Technology Policy, stated: 'This partnership between NSF and NVIDIA puts the Action Plan to work and demonstrates the power of the American innovation ecosystem.'","AI Research","NSF and NVIDIA invest $152 million in open-source AI models for scientific research, enabling faster breakthroughs in materials science, biology, and energy.","2025-08-21","https://www.nsf.gov/news/nsf-nvidia-partnership-enables-ai2-develop-fully-open-ai",https://www.datocms-assets.com/64837/1755122239-announcementbanner.jpg?fit=max&h=810&w=1550
8,"Intel and NVIDIA Strategic Partnership for AI and CPUs","The companies announced a historic collaboration to jointly develop AI infrastructure and personal computing solutions. Intel will build NVIDIA-custom x86 CPUs that NVIDIA will integrate into its AI infrastructure platforms and offer to the market for data centers. For personal computing, Intel will build and offer to the market x86 system-on-chips (SOCs) that integrate NVIDIA RTX GPU chiplets. These new x86 RTX SOCs will power a wide range of PCs that demand integration of world-class CPUs and GPUs. The companies will focus on seamlessly connecting NVIDIA and Intel architectures using NVIDIA NVLink – integrating the strengths of NVIDIA's AI and accelerated computing with Intel's leading CPU technologies and x86 ecosystem to deliver cutting-edge solutions for customers. NVIDIA will invest $5 billion in Intel's common stock at a purchase price of $23.28 per share. The investment is subject to customary closing conditions, including required regulatory approvals. Jensen Huang, NVIDIA founder and CEO, stated: 'AI is powering a new industrial revolution and reinventing every layer of the computing stack — from silicon to systems to software. At the heart of this reinvention is NVIDIA's CUDA architecture. This historic collaboration tightly couples NVIDIA's AI and accelerated computing stack with Intel's CPUs and the vast x86 ecosystem—a fusion of two world-class platforms. Together, we will expand our ecosystems and lay the foundation for the next era of computing.' Lip-Bu Tan, CEO of Intel, added: 'Intel's x86 architecture has been foundational to modern computing for decades – and we are innovating across our portfolio to enable the workloads of the future. Intel's leading data center and client computing platforms, combined with our process technology, manufacturing and advanced packaging capabilities, will complement NVIDIA's AI and accelerated computing leadership to enable new breakthroughs for the industry. We appreciate the confidence Jensen and the NVIDIA team have placed in us with their investment and look forward to the work ahead as we innovate for customers and grow our business.'","Strategic Partnerships","Intel and NVIDIA announce historic partnership: NVIDIA invests $5 billion in Intel to develop custom x86 CPUs and RTX GPU-integrated SOCs.","2025-09-17","https://newsroom.intel.com/artificial-intelligence/intel-and-nvidia-to-jointly-develop-ai-infrastructure-and-personal-computing-",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3DzIPRq03WLjMOTtLhyXScvliq2yV0leyVw&s
9,"NVIDIA Q3 FY2026 Earnings: $57 Billion Revenue, Strong Growth","NVIDIA's revenues for the third quarter fiscal 2026 came in at $57 billion, up 62% year over year and 22% sequentially, according to investor reports. Jensen Huang, NVIDIA's founder and CEO, remarked that 'GPU sales are off the charts and GPUs are sold out.' The company remains optimistic about future growth, projecting revenues for the fourth quarter of fiscal 2026 to be around $65 billion, with a margin of plus or minus 2%. Moreover, NVIDIA expects ongoing profitability growth, especially since the Trump administration has authorized the company to sell H200 AI chips to select clients in China. With a competitive advantage in the AI hardware sector and anticipated increases in global data capital expenditures, NVIDIA is positioned for expansion in 2026 under the leadership of Jensen Huang. The strong performance reflects extraordinary demand for AI infrastructure across all major cloud providers and enterprises. NVIDIA's GPU business continues to benefit from the explosive growth in AI adoption and the transition to next-generation architectures like Rubin. The authorization to sell H200 chips to selected Chinese clients provides additional revenue opportunities in the strategically important Asia-Pacific region. Analysts expect the company's momentum to continue throughout 2026 as enterprises accelerate their AI deployment initiatives and cloud providers scale their data centers. The company's guidance of $65 billion in Q4 revenue underscores NVIDIA's confidence in sustained demand for its AI computing platforms.","Financial Results","NVIDIA reports record $57B Q3 FY2026 revenue, up 62% YoY. Forecasts $65B Q4 revenue. GPUs sold out amid explosive AI demand.","2026-01-09","https://finance.yahoo.com/news/micron-vs-nvidia-one-ai-200500396.html",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlbuejfRzPql7ZKMZ-4mlRmJ9XV3KUT1Vn7g&s
